Frase	Polaridade Correta	Polaridade Predita	Resultado
Fala que odeia falsidade, mas usa Windows pirata	Negativa	Negativa	Acertou
Como se faz para dar o logout na vida? Parece que entrei no save errado	Negativa	Negativa	Acertou
Acho que fiz login na visda errada	Negativa	Negativa	Acertou
"No algoritmo da vida, eu sou aquele ';' que chega e estraga tudo"	Negativa	Negativa	Acertou
Pessoa falsa é pior que aquele download que falha com 99%	Negativa	Negativa	Acertou
Que vida chata... Como que formata?	Negativa	Negativa	Acertou
Abrindo o computador pra dar parabéns pra placa mãe	Positiva	Positiva	Acertou
Seria perfeito se o Bluetooth transmitisse o amor, já que muitos olhares não fazem mais isso	Positiva	Positiva	Acertou
Um dia tão inútil quanto a maioria dos aplicativos embutidos no Android	Negativa	Negativa	Acertou
Aquele momento maravilhoso em que o download atinge o clímax	Positiva	Positiva	Acertou
Antivírus é igual mãe: chato, mas só quer o seu bem	Positiva	Positiva	Acertou
Minha internet está mais lenta que o sistema judiciário	Negativa	Negativa	Acertou
Nada é tão ruim que a sua internet não possa piorar!	Negativa	Negativa	Acertou
É pra frente que se anda, é pra cima que se olha e é lutando que se conquista	Positiva	Positiva	Acertou
Treine sua mente para ver o lado bom de qualquer situação	Positiva	Positiva	Acertou
Bandido bom é bandido morto	Negativa	Negativa	Acertou
Vocês vão me desculpar mas não existe estado que transmite paz melhor que a de MG	Positiva	Positiva	Acertou
O Brasil é um Belo Pais	Positiva	Positiva	Acertou
Tô feliz	Positiva	Negativa	Errou
Só a felicidade reina	Positiva	Positiva	Acertou
Aqui maldade não se cria	Positiva	Positiva	Acertou
Que odio	Negativa	Negativa	Acertou
Amo meu trabalho	Positiva	Positiva	Acertou
